location_code,week_start,cells,cells_log10,da,da_cat,cens,lod,t_days,t_years
BML,2022-10-10,29.0,1.4771212547196624,,,,,11130,30.472279260780287
BML,2022-10-17,0.0,0.0,,,,,11137,30.491444216290212
BML,2022-10-24,9.0,1.0,,,,,11144,30.510609171800137
BML,2022-10-31,17.5,1.2671717284030137,,,,,11151,30.529774127310063
BML,2022-11-07,28.0,1.462397997898956,,,,,11158,30.548939082819988
BML,2022-11-14,23.0,1.380211241711606,,,,,11165,30.56810403832991
BML,2022-11-21,8.0,0.9542425094393249,,,,,11172,30.587268993839835
BML,2022-11-28,5.0,0.7781512503836436,,,,,11179,30.60643394934976
BML,2022-12-05,16.0,1.2304489213782739,,,,,11186,30.625598904859686
BML,2022-12-19,34.666666666666664,1.5522625229655471,,,,,11200,30.663928815879533
BML,2023-01-02,0.0,0.0,2.5,1.0,1.0,2.5,11214,30.702258726899384
BML,2023-01-09,0.0,0.0,,,,,11221,30.72142368240931
BML,2023-01-16,0.0,0.0,,,,,11228,30.740588637919235
BML,2023-01-23,0.5,0.17609125905568124,,,,,11235,30.759753593429156
BML,2023-01-30,0.0,0.0,,,,,11242,30.77891854893908
BML,2023-02-06,11.0,1.0791812460476249,,,,,11249,30.798083504449007
BML,2023-02-13,16.0,1.2304489213782739,,,,,11256,30.817248459958932
BML,2023-02-20,0.0,0.0,,,,,11263,30.836413415468858
BML,2023-02-27,0.0,0.0,,,,,11270,30.855578370978783
BML,2023-03-06,9.0,1.0,,,,,11277,30.874743326488705
BML,2023-03-13,235.0,2.3729120029701067,,,,,11284,30.89390828199863
BML,2023-03-20,99.0,2.0,,,,,11291,30.913073237508556
BML,2023-03-27,14.5,1.1903316981702914,,,,,11298,30.93223819301848
BML,2023-04-03,3776.0,3.5771469848275252,,,,,11305,30.951403148528406
BML,2023-04-10,1.0,0.3010299956639812,,,,,11312,30.97056810403833
BML,2023-04-17,0.0,0.0,,,,,11319,30.989733059548254
BML,2023-04-24,0.0,0.0,,,,,11326,31.00889801505818
BML,2023-05-01,0.0,0.0,,,,,11333,31.028062970568104
BML,2023-05-08,0.0,0.0,,,,,11340,31.04722792607803
BML,2023-05-15,7.0,0.9030899869919435,,,,,11347,31.066392881587955
BML,2023-05-22,372.0,2.571708831808688,,,,,11354,31.085557837097877
BML,2023-05-29,0.0,0.0,,,,,11361,31.104722792607802
BML,2023-06-05,281.5,2.4510184521554574,,,,,11368,31.123887748117728
BML,2023-06-12,7.0,0.9030899869919435,,,,,11375,31.143052703627653
BML,2023-06-19,0.0,0.0,,,,,11382,31.16221765913758
BML,2023-06-26,3.0,0.6020599913279624,,,,,11389,31.1813826146475
BML,2023-07-03,0.0,0.0,,,,,11396,31.200547570157426
BML,2023-07-10,0.0,0.0,,,,,11403,31.21971252566735
BML,2023-07-17,0.0,0.0,,,,,11410,31.238877481177276
BML,2023-07-24,0.0,0.0,,,,,11417,31.2580424366872
BML,2023-07-31,1776.0,3.2496874278053016,,,,,11424,31.277207392197127
BML,2023-08-07,57.0,1.7634279935629373,,,,,11431,31.29637234770705
BML,2023-08-14,0.0,0.0,,,,,11438,31.315537303216974
BML,2023-08-21,0.0,0.0,,,,,11445,31.3347022587269
BML,2023-08-28,0.0,0.0,,,,,11452,31.353867214236825
BML,2023-09-04,2.5,0.5440680443502757,,,,,11459,31.37303216974675
BML,2023-09-11,0.0,0.0,,,,,11466,31.392197125256672
BML,2023-09-18,74.0,1.8750612633917,,,,,11473,31.411362080766597
BML,2023-09-25,11.0,1.0791812460476249,,,,,11480,31.430527036276523
BML,2023-10-02,0.0,0.0,,,,,11487,31.449691991786448
BML,2023-10-09,0.0,0.0,,,,,11494,31.468856947296374
BML,2023-10-16,0.0,0.0,,,,,11501,31.488021902806295
BML,2023-10-23,0.0,0.0,,,,,11508,31.50718685831622
BML,2023-10-30,0.0,0.0,,,,,11515,31.526351813826146
BML,2023-11-06,188.0,2.2764618041732443,,,,,11522,31.54551676933607
BML,2023-11-13,6.0,0.8450980400142568,,,,,11529,31.564681724845997
BML,2023-11-20,7.0,0.9030899869919435,,,,,11536,31.583846680355922
BML,2023-11-27,9.0,1.0,,,,,11543,31.603011635865844
BML,2023-12-04,19.0,1.3010299956639813,,,,,11550,31.62217659137577
