location_name,location_code,week_start,pda_water_ng_ml,tda_water_ng_ml,pn_total_cells_l,pn_seriata_cells_l,alexandrium_cells_l,dinophysis_cells_l,total_phyto_cells_l,insitu_sst_c,insitu_chl_mg_m3,nitrate_um,silicate_um,n_samples,hazard_truth_status,insitu_physical_status
Bodega Marine Lab,BML,2021-10-04,,,44.0,44.0,0.0,21.0,1732.0,13.0,,,,1,partial,partial
Bodega Marine Lab,BML,2021-10-11,,,183.5,172.0,12.5,42.5,2003.0,12.25,,,,2,partial,partial
Bodega Marine Lab,BML,2021-10-18,,,187.0,178.0,0.0,45.0,2230.0,12.1,,,,1,partial,partial
Bodega Marine Lab,BML,2021-10-25,,,24.0,12.0,102.0,123.0,4443.0,13.6,,,,1,partial,partial
Bodega Marine Lab,BML,2021-11-01,,,20.0,17.0,17.0,250.0,2607.0,14.7,,,,1,partial,partial
Bodega Marine Lab,BML,2021-11-08,,,21.5,13.0,19.5,44.5,1322.0,13.35,,,,2,partial,partial
Bodega Marine Lab,BML,2021-11-15,,,16.0,4.0,8.0,75.0,706.0,13.8,,,,1,partial,partial
Bodega Marine Lab,BML,2021-11-22,,,22.0,13.0,0.0,7.0,529.0,13.2,,,,1,partial,partial
Bodega Marine Lab,BML,2021-11-29,,,27.0,7.0,0.0,28.0,696.0,13.2,,,,1,partial,partial
Bodega Marine Lab,BML,2021-12-06,,,26.0,19.0,3.0,11.0,659.0,12.8,,,,1,partial,partial
Bodega Marine Lab,BML,2021-12-13,,,180.0,122.0,0.0,84.0,2643.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2021-12-20,,,8.0,4.0,0.0,7.0,367.0,11.4,,,,1,partial,partial
Bodega Marine Lab,BML,2021-12-27,,,1.0,0.0,0.0,10.0,563.5,11.65,,,,2,partial,partial
Bodega Marine Lab,BML,2022-01-03,,,0.0,0.0,0.0,0.0,332.0,11.1,,,,1,partial,partial
Bodega Marine Lab,BML,2022-01-10,,,0.0,0.0,0.0,0.0,1275.0,11.6,,,,1,partial,partial
Bodega Marine Lab,BML,2022-01-17,,,0.0,0.0,0.0,7.0,299.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2022-01-24,,,0.0,0.0,0.0,17.0,681.0,11.9,,,,1,partial,partial
Bodega Marine Lab,BML,2022-01-31,,,0.0,0.0,0.0,1.0,462.0,12.2,,,,1,partial,partial
Bodega Marine Lab,BML,2022-02-07,,,28.0,24.0,0.0,0.0,1301.0,11.9,,,,1,partial,partial
Bodega Marine Lab,BML,2022-02-14,,,11.0,7.0,0.0,11.0,1215.0,11.4,,,,1,partial,partial
Bodega Marine Lab,BML,2022-02-21,,,8.5,5.0,0.0,2.0,885.5,10.25,,,,2,partial,partial
Bodega Marine Lab,BML,2022-02-28,,,256.0,163.0,0.0,0.0,12106.0,10.7,,,,1,partial,partial
Bodega Marine Lab,BML,2022-03-07,,,51.5,33.5,0.0,0.0,2111.5,10.3,,,,2,partial,partial
Bodega Marine Lab,BML,2022-03-14,,,97.0,45.0,0.0,0.0,1531.0,10.5,,,,1,partial,partial
Bodega Marine Lab,BML,2022-03-28,,,18.0,12.0,0.0,0.0,1086.0,10.8,,,,1,partial,partial
Bodega Marine Lab,BML,2022-04-04,,,462.0,245.0,0.0,0.0,61081.0,9.8,,,,1,partial,partial
Bodega Marine Lab,BML,2022-04-11,,,5.0,0.0,0.0,0.0,1144.0,9.3,,,,1,partial,partial
Bodega Marine Lab,BML,2022-04-18,,,7.0,0.0,0.0,0.0,1738.0,10.4,,,,1,partial,partial
Bodega Marine Lab,BML,2022-04-25,,,500.0,384.0,0.0,0.0,22641.0,9.9,,,,1,partial,partial
Bodega Marine Lab,BML,2022-05-02,,,0.0,0.0,0.0,0.0,2227.0,10.3,,,,1,partial,partial
Bodega Marine Lab,BML,2022-05-09,,,6.0,6.0,0.0,0.0,2746.0,10.4,,,,1,partial,partial
Bodega Marine Lab,BML,2022-05-16,,,0.0,0.0,0.0,0.0,1287.0,9.1,,,,1,partial,partial
Bodega Marine Lab,BML,2022-05-23,,,2.5,0.0,0.0,0.0,976.0,9.6,,,,2,partial,partial
Bodega Marine Lab,BML,2022-05-30,,,89.0,29.0,0.0,0.0,8890.0,10.4,,,,1,partial,partial
Bodega Marine Lab,BML,2022-06-06,,,8.0,3.0,0.0,0.0,1426.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2022-06-13,,,181.0,162.0,0.0,0.0,28289.0,10.3,,,,1,partial,partial
Bodega Marine Lab,BML,2022-06-20,,,40.0,20.0,0.0,0.0,517696.0,9.2,,,,1,partial,partial
Bodega Marine Lab,BML,2022-06-27,,,13.0,5.0,0.0,3.0,2120.0,11.4,,,,1,partial,partial
Bodega Marine Lab,BML,2022-07-04,,,0.0,0.0,0.0,0.0,1005.0,10.4,,,,1,partial,partial
Bodega Marine Lab,BML,2022-07-11,,,24.0,8.0,0.0,0.0,1002.0,11.3,,,,1,partial,partial
Bodega Marine Lab,BML,2022-07-18,,,15.5,0.0,0.0,0.0,950.0,10.3,,,,2,partial,partial
Bodega Marine Lab,BML,2022-07-25,,,67.0,5.0,0.0,0.0,780.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2022-08-01,,,0.0,0.0,0.0,8.0,2898.0,13.2,,,,1,partial,partial
Bodega Marine Lab,BML,2022-08-08,,,198.0,25.0,0.0,184.0,1587.5,13.25,,,,2,partial,partial
Bodega Marine Lab,BML,2022-08-15,,,76.0,13.0,0.0,264.0,1362.0,11.9,,,,1,partial,partial
Bodega Marine Lab,BML,2022-08-22,,,162.0,22.0,0.0,42.0,1786.0,13.3,,,,1,partial,partial
Bodega Marine Lab,BML,2022-08-29,,,126.5,75.5,0.0,68.0,1738.5,13.15,,,,2,partial,partial
Bodega Marine Lab,BML,2022-09-12,,,3.0,0.0,4.0,43.0,423.0,14.0,,,,1,partial,partial
Bodega Marine Lab,BML,2022-09-19,,,41.0,11.5,0.0,121.5,2691.5,13.6,,,,2,partial,partial
Bodega Marine Lab,BML,2022-09-26,,,10.0,4.0,0.0,53.0,997.0,15.0,,,,1,partial,partial
Bodega Marine Lab,BML,2022-10-03,,,19.0,5.0,0.0,69.0,1500.0,14.7,,,,1,partial,partial
Bodega Marine Lab,BML,2022-10-10,,,29.0,10.0,67.0,93.0,1269.0,13.1,,,,1,partial,partial
Bodega Marine Lab,BML,2022-10-17,,,0.0,0.0,10.0,18.0,366.0,13.3,,,,1,partial,partial
Bodega Marine Lab,BML,2022-10-24,,,9.0,0.0,0.0,12.0,1581.0,11.5,,,,1,partial,partial
Bodega Marine Lab,BML,2022-10-31,,,17.5,12.5,14.5,2.0,1580.0,11.85,,,,2,partial,partial
Bodega Marine Lab,BML,2022-11-07,,,28.0,22.0,0.0,9.0,654.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2022-11-14,,,23.0,11.5,9.5,12.0,570.0,11.149999999999999,,,,2,partial,partial
Bodega Marine Lab,BML,2022-11-21,,,8.0,5.0,0.0,2.0,805.0,10.6,,,,1,partial,partial
Bodega Marine Lab,BML,2022-11-28,,,5.0,0.0,11.0,18.0,1649.0,11.1,,,,1,partial,partial
Bodega Marine Lab,BML,2022-12-05,,,16.0,13.0,15.0,23.0,1180.0,13.1,,,,1,partial,partial
Bodega Marine Lab,BML,2022-12-19,,,34.666666666666664,31.333333333333332,15.666666666666666,35.333333333333336,6770.666666666667,10.866666666666667,,,,3,partial,partial
Bodega Marine Lab,BML,2023-01-02,,,0.0,0.0,0.0,11.0,2309.0,10.8,,,,1,partial,partial
Bodega Marine Lab,BML,2023-01-09,,,0.0,0.0,0.0,5.0,1412.0,12.2,,,,1,partial,partial
Bodega Marine Lab,BML,2023-01-16,,,0.0,0.0,0.0,1.0,445.0,12.4,,,,1,partial,partial
Bodega Marine Lab,BML,2023-01-23,,,0.5,0.0,0.0,0.0,237.0,12.3,,,,2,partial,partial
Bodega Marine Lab,BML,2023-01-30,,,0.0,0.0,0.0,0.0,484.0,11.4,,,,1,partial,partial
Bodega Marine Lab,BML,2023-02-06,,,11.0,0.0,0.0,4.0,781.0,11.8,,,,1,partial,partial
Bodega Marine Lab,BML,2023-02-13,,,16.0,0.0,0.0,2.0,2402.0,11.7,,,,1,partial,partial
Bodega Marine Lab,BML,2023-02-20,,,0.0,0.0,0.0,6.0,2020.0,10.7,,,,1,partial,partial
