location_code,week_start,cells,cells_log10,da,da_cat,cens,lod,t_days,t_years
CPP,2008-09-22,27723.1909,4.44285888059964,1.0,1.0,1.0,1.0,1631,4.465434633812457
CPP,2008-09-29,0.0,0.0,1.0,1.0,1.0,1.0,1638,4.484599589322382
CPP,2008-10-06,0.0,0.0,1.0,1.0,1.0,1.0,1645,4.503764544832307
CPP,2008-10-13,0.0,0.0,1.0,1.0,1.0,1.0,1652,4.522929500342231
CPP,2008-10-20,0.0,0.0,1.0,1.0,1.0,1.0,1659,4.542094455852156
CPP,2008-10-27,0.0,0.0,,,,,1666,4.561259411362081
CPP,2008-11-03,0.0,0.0,1.0,1.0,1.0,1.0,1673,4.5804243668720055
CPP,2008-11-10,0.0,0.0,,,,,1680,4.59958932238193
CPP,2008-11-17,0.0,0.0,1.0,1.0,1.0,1.0,1687,4.618754277891855
CPP,2008-11-24,0.0,0.0,,,,,1694,4.63791923340178
CPP,2008-12-01,2132.5532,3.3291034764329126,,,,,1701,4.657084188911704
CPP,2008-12-08,,,1.0,1.0,1.0,1.0,1708,4.676249144421629
CPP,2008-12-15,0.0,0.0,1.0,1.0,1.0,1.0,1715,4.695414099931554
CPP,2008-12-22,0.0,0.0,,,,,1722,4.714579055441479
CPP,2009-01-05,0.0,0.0,1.0,1.0,1.0,1.0,1736,4.7529089664613275
CPP,2009-01-12,0.0,0.0,1.0,1.0,1.0,1.0,1743,4.772073921971253
CPP,2009-01-19,0.0,0.0,1.0,1.0,1.0,1.0,1750,4.791238877481177
CPP,2009-01-26,0.0,0.0,1.0,1.0,1.0,1.0,1757,4.810403832991102
CPP,2009-02-02,0.0,0.0,1.0,1.0,1.0,1.0,1764,4.829568788501026
CPP,2009-02-09,0.0,0.0,1.0,1.0,1.0,1.0,1771,4.848733744010952
CPP,2009-02-16,0.0,0.0,1.0,1.0,1.0,1.0,1778,4.867898699520876
CPP,2009-02-23,0.0,0.0,1.0,1.0,1.0,1.0,1785,4.887063655030801
CPP,2009-03-02,0.0,0.0,1.0,1.0,1.0,1.0,1792,4.906228610540725
CPP,2009-03-09,0.0,0.0,1.0,1.0,1.0,1.0,1799,4.9253935660506505
CPP,2009-03-16,0.0,0.0,1.0,1.0,1.0,1.0,1806,4.944558521560575
CPP,2009-03-23,0.0,0.0,,,,,1813,4.963723477070499
CPP,2009-03-30,0.0,0.0,1.0,1.0,1.0,1.0,1820,4.982888432580425
CPP,2009-04-06,0.0,0.0,1.0,1.0,1.0,1.0,1827,5.002053388090349
CPP,2009-04-13,0.0,0.0,2.5,1.0,1.0,2.5,1834,5.021218343600274
CPP,2009-04-20,0.0,0.0,,,,,1841,5.040383299110198
CPP,2009-04-27,2665.6914,3.4259727603349206,2.5,1.0,1.0,2.5,1848,5.059548254620124
CPP,2009-05-04,11729.0425,4.06929958564341,2.5,1.0,1.0,2.5,1855,5.078713210130048
CPP,2009-05-11,1066.2766,3.028276987640199,2.5,1.0,1.0,2.5,1862,5.0978781656399725
