location_code,location_name,week_start,cells,cells_log10,t_days,t_years
CPP,Cal Poly Pier,2010-11-08,10662.7656,4.027910590293146,819,2.242299794661191
CPP,Cal Poly Pier,2010-11-22,4265.1064,3.6300316828894594,833,2.2806297056810405
CPP,Cal Poly Pier,2010-11-29,19192.9785,4.283165003996114,840,2.299794661190965
CPP,Cal Poly Pier,2011-01-24,8533.1689,3.931161233743838,896,2.4531143052703626
CPP,Cal Poly Pier,2011-01-31,725319.375,5.860529877414569,903,2.4722792607802875
CPP,Cal Poly Pier,2011-02-07,68265.3535,4.834206705296037,910,2.4914442162902124
CPP,Cal Poly Pier,2011-02-14,204796.0547,5.3113237065189525,917,2.510609171800137
CPP,Cal Poly Pier,2011-02-21,8533.1689,3.931161233743838,924,2.529774127310062
CPP,Cal Poly Pier,2011-02-28,392525.7754,5.5938692865891895,931,2.5489390828199863
CPP,Cal Poly Pier,2011-03-07,34132.6758,4.5331830592630435,938,2.568104038329911
CPP,Cal Poly Pier,2011-03-28,0.0,0.0,959,2.625598904859685
CPP,Cal Poly Pier,2011-04-04,0.0,0.0,966,2.64476386036961
CPP,Cal Poly Pier,2011-04-11,375459.4375,5.574564181871118,973,2.6639288158795345
CPP,Cal Poly Pier,2011-04-18,21325.5318,4.32892023460606,980,2.6830937713894594
CPP,Cal Poly Pier,2011-04-25,0.0,0.0,987,2.702258726899384
CPP,Cal Poly Pier,2011-05-02,0.0,0.0,994,2.7214236824093088
CPP,Cal Poly Pier,2011-05-16,0.0,0.0,1008,2.759753593429158
CPP,Cal Poly Pier,2011-05-30,0.0,0.0,1022,2.7980835044490076
CPP,Cal Poly Pier,2011-06-06,0.0,0.0,1029,2.817248459958932
CPP,Cal Poly Pier,2011-06-20,0.0,0.0,1043,2.855578370978782
CPP,Cal Poly Pier,2011-06-27,14927.8721,4.1740269973265125,1050,2.8747433264887063
CPP,Cal Poly Pier,2011-07-11,44783.6167,4.65112886155177,1064,2.9130732375085557
CPP,Cal Poly Pier,2011-07-25,117290.4257,5.069266265250385,1078,2.951403148528405
CPP,Cal Poly Pier,2011-08-08,166339.1484,5.2209970846024145,1092,2.9897330595482545
CPP,Cal Poly Pier,2011-08-29,72506.8057,4.860384762294581,1113,3.047227926078029
CPP,Cal Poly Pier,2011-09-26,0.0,0.0,1141,3.1238877481177276
CPP,Cal Poly Pier,2011-10-10,17066.3379,4.232165786756184,1155,3.162217659137577
CPP,Cal Poly Pier,2011-10-31,2380754.1758,6.376714737166367,1176,3.2197125256673513
CPP,Cal Poly Pier,2011-11-14,1467705.125,6.1666391066240855,1190,3.2580424366872007
CPP,Cal Poly Pier,2011-11-28,51199.0156,4.709270093299911,1204,3.29637234770705
CPP,Cal Poly Pier,2011-12-12,0.0,0.0,1218,3.3347022587268995
CPP,Cal Poly Pier,2012-01-02,34120.8516,4.533032589841448,1239,3.3921971252566734
CPP,Cal Poly Pier,2012-01-16,4265.1064,3.6300316828894594,1253,3.430527036276523
CPP,Cal Poly Pier,2012-01-30,2132.5532,3.3291034764329126,1267,3.468856947296372
CPP,Cal Poly Pier,2012-02-13,0.0,0.0,1281,3.5071868583162216
CPP,Cal Poly Pier,2012-02-27,0.0,0.0,1295,3.5455167693360714
CPP,Cal Poly Pier,2012-03-19,19192.9785,4.283165003996114,1316,3.6030116358658453
CPP,Cal Poly Pier,2012-04-02,6397.6597,3.806089013694315,1330,3.6413415468856947
CPP,Cal Poly Pier,2012-04-16,0.0,0.0,1344,3.679671457905544
CPP,Cal Poly Pier,2012-04-30,4265.1064,3.6300316828894594,1358,3.7180013689253935
CPP,Cal Poly Pier,2012-05-14,10662.7656,4.027910590293146,1372,3.756331279945243
CPP,Cal Poly Pier,2012-06-11,40518.5117,4.607664203043788,1400,3.8329911019849416
CPP,Cal Poly Pier,2012-06-25,29855.7441,4.475042445837072,1414,3.871321013004791
CPP,Cal Poly Pier,2012-07-09,59711.4883,4.77606516919623,1428,3.909650924024641
CPP,Cal Poly Pier,2012-07-23,2132.5532,3.3291034764329126,1442,3.9479808350444903
CPP,Cal Poly Pier,2012-08-13,9062.3047,3.957286580820948,1463,4.005475701574264
CPP,Cal Poly Pier,2012-08-20,28786.1426,4.459198559124737,1470,4.024640657084189
CPP,Cal Poly Pier,2012-09-03,7996.1509,3.902935290892718,1484,4.0629705681040384
CPP,Cal Poly Pier,2012-09-17,10661.5342,4.027860437174169,1498,4.101300479123887
CPP,Cal Poly Pier,2012-10-01,0.0,0.0,1512,4.139630390143737
CPP,Cal Poly Pier,2012-10-15,42646.13619999999,4.629889873151952,1526,4.177960301163586
CPP,Cal Poly Pier,2012-10-29,533.0767,2.727603631550572,1540,4.216290212183436
CPP,Cal Poly Pier,2012-11-12,2132.3069,3.3290533380508216,1554,4.254620123203286
CPP,Cal Poly Pier,2012-11-26,533.0767,2.727603631550572,1568,4.292950034223135
CPP,Cal Poly Pier,2012-12-03,2665.3835,3.425922613178305,1575,4.312114989733059
CPP,Cal Poly Pier,2012-12-10,0.0,0.0,1582,4.331279945242985
CPP,Cal Poly Pier,2012-12-31,533.0767,2.727603631550572,1603,4.388774811772758
CPP,Cal Poly Pier,2013-01-07,0.0,0.0,1610,4.407939767282683
CPP,Cal Poly Pier,2013-01-14,0.0,0.0,1617,4.427104722792608
CPP,Cal Poly Pier,2013-01-21,0.0,0.0,1624,4.446269678302532
CPP,Cal Poly Pier,2013-01-28,1066.1534,3.02822685240013,1631,4.465434633812457
CPP,Cal Poly Pier,2013-02-04,0.0,0.0,1638,4.484599589322382
CPP,Cal Poly Pier,2013-02-11,5863.8439,3.7682564573260886,1645,4.503764544832307
CPP,Cal Poly Pier,2013-02-18,1599.2302,3.2041824622799884,1652,4.522929500342231
CPP,Cal Poly Pier,2013-02-25,8529.2276,3.930960618987616,1659,4.542094455852156
CPP,Cal Poly Pier,2013-03-04,7996.1506,3.902935274600873,1666,4.561259411362081
CPP,Cal Poly Pier,2013-03-11,21323.0684,4.328870066916841,1673,4.5804243668720055
CPP,Cal Poly Pier,2013-03-18,28253.0664,4.451080961464849,1680,4.59958932238193
CPP,Cal Poly Pier,2013-04-01,20789.99265,4.317875224883464,1694,4.63791923340178
CPP,Cal Poly Pier,2013-04-08,2132.3069,3.3290533380508216,1701,4.657084188911704
CPP,Cal Poly Pier,2013-04-15,79961.50779999999,4.902886406089187,1708,4.676249144421629
CPP,Cal Poly Pier,2013-04-22,44245.3662,4.645877609404689,1715,4.695414099931554
CPP,Cal Poly Pier,2013-04-29,17058.4556,4.231965167881424,1722,4.714579055441479
CPP,Cal Poly Pier,2013-05-06,43179.2148,4.635284798401702,1729,4.733744010951403
CPP,Cal Poly Pier,2013-05-13,167919.1641,5.225102849988884,1736,4.7529089664613275
CPP,Cal Poly Pier,2013-05-20,381149.87309999997,5.581096918942933,1743,4.772073921971253
CPP,Cal Poly Pier,2013-05-27,360359.8594,5.556737613967087,1750,4.791238877481177
CPP,Cal Poly Pier,2013-06-03,38914.6023,4.590123756448473,1757,4.810403832991102
CPP,Cal Poly Pier,2013-06-17,1066.1534,3.02822685240013,1771,4.848733744010952
CPP,Cal Poly Pier,2013-06-24,813475.0918,5.910344793472125,1778,4.867898699520876
CPP,Cal Poly Pier,2013-07-01,427527.53130000003,5.630965102859943,1785,4.887063655030801
CPP,Cal Poly Pier,2013-07-08,533.0767,2.727603631550572,1792,4.906228610540725
CPP,Cal Poly Pier,2013-07-15,25054.605499999998,4.398904902473879,1799,4.9253935660506505
CPP,Cal Poly Pier,2013-07-22,761233.5626,5.881518498487415,1806,4.944558521560575
CPP,Cal Poly Pier,2013-07-29,6396.920700000001,3.8060388528525197,1813,4.963723477070499
CPP,Cal Poly Pier,2013-08-05,176981.4687,5.24793024871246,1820,4.982888432580425
CPP,Cal Poly Pier,2013-08-12,42113.061499999996,4.6244271270051724,1827,5.002053388090349
CPP,Cal Poly Pier,2013-08-19,0.0,0.0,1834,5.021218343600274
CPP,Cal Poly Pier,2013-08-26,1599.2302,3.2041824622799884,1841,5.040383299110198
CPP,Cal Poly Pier,2013-09-02,45311.5205,4.656218220395838,1848,5.059548254620124
CPP,Cal Poly Pier,2013-09-09,108214.57819999999,5.034289784239203,1855,5.078713210130048
CPP,Cal Poly Pier,2013-09-16,313982.18740000005,5.496906393885667,1862,5.0978781656399725
CPP,Cal Poly Pier,2013-09-23,848125.0312000001,5.9284603930441335,1869,5.117043121149897
CPP,Cal Poly Pier,2013-09-30,276133.7421,5.441121051163374,1876,5.136208076659822
CPP,Cal Poly Pier,2013-10-07,20256.916,4.30659476598712,1883,5.155373032169747
CPP,Cal Poly Pier,2013-10-14,2132.3069,3.3290533380508216,1890,5.174537987679671
CPP,Cal Poly Pier,2013-10-21,0.0,0.0,1897,5.193702943189596
CPP,Cal Poly Pier,2013-10-28,9062.3047,3.957286580820948,1904,5.212867898699521
CPP,Cal Poly Pier,2013-11-11,3731.5371,3.572004133140587,1918,5.25119780971937
CPP,Cal Poly Pier,2013-11-25,36782.29455,4.565650624869632,1932,5.28952772073922
CPP,Cal Poly Pier,2013-12-02,0.0,0.0,1939,5.308692676249144
CPP,Cal Poly Pier,2013-12-09,5330.7671,3.726871170487895,1946,5.327857631759069
CPP,Cal Poly Pier,2013-12-16,0.0,0.0,1953,5.347022587268994
CPP,Cal Poly Pier,2013-12-30,3198.4602999999997,3.5050767256637596,1967,5.385352498288843
CPP,Cal Poly Pier,2014-01-06,2132.3069,3.3290533380508216,1974,5.404517453798768
CPP,Cal Poly Pier,2014-01-13,0.0,0.0,1981,5.423682409308693
CPP,Cal Poly Pier,2014-01-20,0.0,0.0,1988,5.4428473648186175
CPP,Cal Poly Pier,2014-01-27,0.0,0.0,1995,5.462012320328542
CPP,Cal Poly Pier,2014-02-17,799.6151,2.903423776856813,2016,5.519507186858316
CPP,Cal Poly Pier,2014-02-24,0.0,0.0,2023,5.538672142368241
CPP,Cal Poly Pier,2014-03-03,0.0,0.0,2030,5.557837097878165
CPP,Cal Poly Pier,2014-03-17,9595.3809,3.9821074776748184,2044,5.596167008898015
CPP,Cal Poly Pier,2014-03-24,54373.8242,4.735397865841437,2051,5.61533196440794
CPP,Cal Poly Pier,2014-04-07,56506.13279999999,4.752103271539108,2065,5.653661875427789
CPP,Cal Poly Pier,2014-04-14,212164.539,5.326674844987,2072,5.672826830937714
CPP,Cal Poly Pier,2014-04-21,550135.1875,5.740470213418515,2079,5.691991786447638
CPP,Cal Poly Pier,2014-04-28,72498.4336,4.86033461366954,2086,5.711156741957564
CPP,Cal Poly Pier,2014-05-05,188709.1582,5.275795278710056,2093,5.730321697467488
CPP,Cal Poly Pier,2014-05-12,363558.3125,5.560575273489757,2100,5.749486652977413
CPP,Cal Poly Pier,2014-05-19,70899.2051,4.850647491511267,2107,5.768651608487337
CPP,Cal Poly Pier,2014-06-02,188709.15620000003,5.275795274107289,2121,5.806981519507187
CPP,Cal Poly Pier,2014-06-09,260674.51559999998,5.416100241221343,2128,5.8261464750171115
CPP,Cal Poly Pier,2014-06-23,18657.6846,4.270881023596025,2142,5.864476386036961
